themes,counter
Adult Cast,3
Anthropomorphic,4
Childcare,1
Combat Sports,8
Crossdressing,1
Delinquents,1
Detective,2
Educational,1
Gag Humor,2
Historical,46
Iyashikei,1
Mahou Shoujo,1
Martial Arts,9
Mecha,33
Military,5
Music,65
Mythology,12
Parody,2
Pets,2
Psychological,6
Racing,3
Samurai,6
School,10
Space,3
Super Power,6
Team Sports,16
Unknown,213
Vampire,1
Visual Arts,1
