themes,counter
Adult Cast,39
Anthropomorphic,25
Childcare,7
Combat Sports,18
Crossdressing,4
Delinquents,28
Detective,44
Educational,35
Gag Humor,21
Gore,13
Harem,10
Historical,171
Idols (Female),5
Idols (Male),1
Isekai,9
Iyashikei,1
Love Polygon,5
Magical Sex Shift,6
Mahou Shoujo,18
Martial Arts,91
Mecha,186
Medical,3
Military,65
Music,172
Mythology,84
Organized Crime,20
Otaku Culture,1
Parody,57
Performing Arts,3
Pets,14
Psychological,31
Racing,22
Reverse Harem,1
Samurai,19
School,109
Showbiz,4
Space,89
Strategy Game,7
Super Power,68
Team Sports,40
Time Travel,7
Unknown,981
Vampire,7
Video Game,1
Visual Arts,4
Workplace,3
