themes,counter
Adult Cast,54
Anthropomorphic,107
CGDCT,67
Childcare,14
Combat Sports,11
Crossdressing,6
Delinquents,5
Detective,51
Educational,30
Gag Humor,38
Gore,32
Harem,79
High Stakes Game,10
Historical,330
Idols (Female),139
Idols (Male),93
Isekai,122
Iyashikei,69
Love Polygon,15
Magical Sex Shift,5
Mahou Shoujo,56
Martial Arts,197
Mecha,180
Medical,14
Military,151
Music,1134
Mythology,183
Organized Crime,11
Otaku Culture,19
Parody,176
Performing Arts,37
Pets,17
Psychological,119
Racing,39
Reincarnation,60
Reverse Harem,18
Romantic Subtext,29
Samurai,40
School,508
Showbiz,6
Space,73
Strategy Game,117
Super Power,144
Survival,24
Team Sports,64
Time Travel,40
Unknown,2288
Vampire,40
Video Game,72
Visual Arts,17
Workplace,67
