themes,counter
Adult Cast,70
Anthropomorphic,50
CGDCT,8
Childcare,5
Combat Sports,15
Crossdressing,5
Delinquents,4
Detective,71
Educational,39
Gag Humor,37
Gore,24
Harem,83
High Stakes Game,3
Historical,201
Idols (Female),6
Isekai,33
Iyashikei,20
Love Polygon,16
Magical Sex Shift,7
Mahou Shoujo,38
Martial Arts,69
Mecha,296
Medical,11
Military,146
Music,262
Mythology,99
Organized Crime,8
Otaku Culture,9
Parody,71
Performing Arts,14
Pets,22
Psychological,98
Racing,31
Reincarnation,2
Reverse Harem,8
Samurai,50
School,215
Showbiz,7
Space,123
Strategy Game,44
Super Power,88
Survival,3
Team Sports,31
Time Travel,21
Unknown,1767
Vampire,29
Video Game,14
Visual Arts,14
Workplace,18
