,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
17132,33603,Mo Jing Lieren 2nd Season,魔晶猎人 第二季,Armored Adventure 2nd Season,The series takes place on a fantastical world where crystals can provide great strength. Their value has led to to the rise of a unique profession: crystal hunting.,ONA,26.0,Finished Airing,"Apr 26, 2015","Dec 31, 2015",Unknown,Unknown,Taikong Works,Original,"Adventure, Fantasy",Unknown,Unknown,12.0,PG-13 - Teens 13 or older,,,135312.0,17157,221,0,2015.0
14334,33122,Pâtisserie no Monster,パティシエのモンスター,Patissier Monster,"Pâtisserie no Monster focuses on the titular monster Powan, the owner of a small pastry shop in France.",ONA,4.0,Finished Airing,"Apr 26, 2016","Jul 28, 2016",Craftar Studios,Unknown,dwarf,Picture book,Slice of Life,Unknown,Unknown,1.0,G - All Ages,5.651,151.0,105822.0,14357,444,0,2016.0
9269,36996,Jian Wangchao,剣王朝,Sword Dynasty,"The story takes place in the twilight years of the Qin Dynasty, and follows a young man who will dismantle the Qin Dynasty and create the Sword Dynasty.

(Source: ANN)",ONA,12.0,Finished Airing,"Apr 26, 2017","Jul 5, 2017",iQIYI,Unknown,EMT Squared,Novel,Action,Historical,Unknown,15.0,PG-13 - Teens 13 or older,5.921,463.0,94392.0,9278,2692,6,2017.0
12724,37888,Tian Yu,天谕,Revelation,Unknown,ONA,13.0,Finished Airing,"Apr 26, 2017","Oct 11, 2017",Unknown,Unknown,Sparkly Key Animation Studio,Game,"Action, Adventure, Fantasy",Mythology,Unknown,13.0,PG-13 - Teens 13 or older,6.081,164.0,86322.0,12738,757,3,2017.0
5208,37564,Wo de Ni Tian Shen Qi,我的逆天神器,My Holy Weapon,"One day, while being attacked, Chang Tian unintentionally invokes an artifact called Xiao Bai that protects him from a terrible fate. After this, he finds himself on a battlefield, where he will fight alongside several other people like him, able to invoke artifacts...",ONA,16.0,Finished Airing,"Apr 26, 2018","Aug 9, 2018",Tencent Animation & Comics,Unknown,"Haoliners Animation League, Pb Animation Co. Ltd.",Web manga,"Adventure, Comedy, Fantasy, Romance, Supernatural",Unknown,Unknown,17.0,PG-13 - Teens 13 or older,6.411,2752.0,69162.0,5213,12585,18,2018.0
16912,50230,Nitian Xie Shen,逆天邪神,Against the Gods,"His meridians were destroyed. He was abandoned by his clan, mocked by the world as useless trash, and was murdered on the night of his wedding... but thanks to the Mirror of Samsara, his destiny was reversed and he was reborn into the world, filled with both hatred and regret. He swore that this time, he would reach the pinnacle of power!

(Source: Wutopia Comics)",ONA,94.0,Finished Airing,"Apr 26, 2019","Jan 29, 2021",Unknown,Unknown,Unknown,Web novel,"Action, Fantasy",Unknown,Unknown,8.0,PG-13 - Teens 13 or older,,,138992.0,16937,234,1,2019.0
16899,40478,Kamiusagi Rope x Ricordi,紙兎ロペ x Ricordi,Unknown,A collaboration between the Kamiusagi Rope franchise and the real estate company Ricordi.,ONA,3.0,Finished Airing,"Apr 26, 2019","Oct 2, 2019",Unknown,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,Unknown,1.0,G - All Ages,,,190162.0,16924,235,0,2019.0
16190,42465,Guan Hai Ce Zhi Tie Qi Xiong Guan,观海策之铁骑雄关,Unknown,Second season of Guan Hai Ce.,ONA,16.0,Finished Airing,"Apr 26, 2020","Jul 26, 2020",Tencent Penguin Pictures,Unknown,Tong Ming Xuan,Original,"Action, Fantasy","Historical, Martial Arts, Military",Unknown,20.0,None,,,181332.0,16213,284,0,2020.0
16334,44209,Aoi Hane Mitsuketa! Sagashite Miyou Mijika na Tori-tachi,青い羽みつけた! -さがしてみよう 身近な鳥たち-,Unknown,"Hayato and Hina are close brothers and sisters who live in Tokyo. One day, he became interested in the beautiful blue feathers that he found on the road, and came up with the idea of ​​finding an owner. A mysterious crow appears there and travels together as a guide to guide the brother and sister to the owner of the feathers. Is it possible to find a brother or sister who searches for the owner of feathers through encounters with various birds?

(Source: Animate Times, translated) ",ONA,6.0,Finished Airing,"Apr 26, 2021","Jun 14, 2021",Unknown,Unknown,Unknown,Picture book,Fantasy,Unknown,Unknown,4.0,G - All Ages,,,168522.0,16359,273,0,2021.0
3447,41915,Zuihou de Zhaohuan Shi,最后的召唤师,The Last Summoner,"A talented young cook's encounter with a hungry girl who popped up in his kitchen changes his ordinary life forever. Dora, a summoned spirit and a truly cute goddess, now calls him master. However, he is not interested at all and trying everything he could to get away from the ghostly figure. As fate would have it, when he becomes a summoner by accident, there is no turn back in life.

(Source: MU)",ONA,12.0,Finished Airing,"Apr 26, 2022","Jul 5, 2022",bilibili,Unknown,ASK Animation Studio,Web manga,"Action, Adventure, Drama, Fantasy",Harem,Unknown,22.0,PG-13 - Teens 13 or older,6.661,5970.0,54752.0,3449,31841,197,2022.0
14502,51681,Xun Jian,寻剑,Sword Quest,"The world says I am incompetent, but who knows that I am actually the greatest swordsman in the world? What does it matter to me if I am a son-in-law, let's see my sword sweep the world and break the sky!",ONA,12.0,Finished Airing,"Apr 26, 2022","Jul 5, 2022",Youku,Unknown,Xing Yi Kai Chen,Web novel,"Action, Adventure, Fantasy",Martial Arts,Unknown,13.0,PG-13 - Teens 13 or older,6.071,156.0,87082.0,14523,423,4,2022.0
15406,35858,Kura Sushi,くら寿司,Unknown,"A recruitment video/commercial commissioned by Kura Corporation, a Japanese sushi restaurant chain that specializes in conveyor belt sushi. The first episode is a young man trying his best to work hard at his new full time job. The second episode focuses on teenagers working there part time (and the young man from the previous episode has now become the manager of the restaurant).",ONA,2.0,Finished Airing,"Apr 27, 2014","Aug 26, 2016",Unknown,Unknown,Unknown,Original,Slice of Life,Unknown,Unknown,4.0,G - All Ages,5.821,155.0,98672.0,15429,341,0,2014.0
8967,41204,3-pun de Wakaru! Kore made no Love Live!,3分でわかる！これまでのラブライブ！,Unknown,3-minute special recap of Love Live! School Idol Project.,ONA,1.0,Finished Airing,"Apr 27, 2015",Not Available,Unknown,Unknown,Sunrise,Unknown,Unknown,"Idols (Female), Music",Unknown,3.0,PG-13 - Teens 13 or older,6.021,996.0,89762.0,8976,3003,2,2015.0
13192,32059,Master of Torque 3,マスター・オブ・トルク3,Unknown,"At the end of the Four Seasons: Fuuka and Nanami episode, a trailer was shown announcing a 3rd season of Master of Torque being released in 2016.",ONA,1.0,Finished Airing,"Apr 27, 2016",Not Available,Unknown,Unknown,Shimogumi,Original,"Action, Sci-Fi",Unknown,Unknown,20.0,G - All Ages,4.981,239.0,124072.0,13208,648,0,2016.0
6185,33309,Jie Mo Ren,戒魔人,The Devil Ring,"When Freshman Zhou Xiaoan put on a ring of unclear origin, a terrifying devil leaps from his mouth and his life is changed forever. Shocking historical secrets are slowly revealed - a Blood Devil calling itself King Zhou of Shang, a race of heart-eating zombies; a dubious group of Taoist Priests that fight against them; mysterious beings of the supernatural world who can blend in to human society.

(Source: GFearJ)",ONA,14.0,Finished Airing,"Apr 27, 2016","Jul 27, 2016","Tencent Animation & Comics, Qiying Animation",Unknown,Unknown,Web manga,"Action, Fantasy, Mystery, Supernatural",Unknown,Unknown,13.0,PG-13 - Teens 13 or older,6.051,1630.0,88222.0,6191,8216,26,2016.0
14850,35353,Yogen-sha Ikusei Gakuen: Fortune Tellers Academy,予言者育成学園 Fortune Tellers Academy,Unknown,Animated web commercial for Square Enix's mobile game Yogen-sha Ikusei Gakuen: Fortune Tellers Academy.,ONA,1.0,Finished Airing,"Apr 27, 2017",Not Available,Square Enix,Unknown,Unknown,Game,Fantasy,Unknown,Unknown,2.0,G - All Ages,5.491,123.0,111602.0,14874,390,0,2017.0
13949,37802,Ongeki,オンゲキ,Unknown,"A promotional anime for Ongeki, SEGA's new arcade music rhythm game. The arcade game's debut is set for Summer 2018.",ONA,1.0,Finished Airing,"Apr 27, 2018",Not Available,Unknown,Unknown,J.C.Staff,Game,Slice of Life,Unknown,Unknown,1.0,G - All Ages,5.431,176.0,113342.0,13969,501,1,2018.0
1834,37078,Quanzhi Gaoshou Specials,全职高手特别篇,The King's Avatar (2018),"The All-Star Tournament is a three-day event that allows e-sports participants from various professional clubs to display their skills, while also giving casual Glory players the chance to interact with pros in the flesh.

Retired top-tier Glory player Ye Xiu agrees to watch the tournament together with Tang Rou and Chen Guo after the latter manages to get ahold of three tickets. It is a strange sensation for Ye Xiu, as unlike previous occasions, this time he attends the tournament as a spectator, not a participant. However, despite his attempts to keep a low profile, events in the All-Star Tournament may force the former Glory legend back into the limelight.

[Written by MAL Rewrite]",ONA,3.0,Finished Airing,"Apr 27, 2018","May 11, 2018",Tencent Penguin Pictures,Unknown,"Tencent Animation & Comics, China Literature Limited, Colored Pencil Animation",Novel,Action,Video Game,Unknown,27.0,PG-13 - Teens 13 or older,8.231,50035.0,2992.0,1835,96944,349,2018.0
11168,39678,Mei Chuxi de Yinyangshi Yijia,没出息的阴阳师一家,Unknown,The series follows the daily life of an onmyoji who is not very competent at his work.,ONA,12.0,Finished Airing,"Apr 27, 2019","Jul 13, 2019",Unknown,Unknown,Green Monster Team,Web manga,"Comedy, Slice of Life, Supernatural","Historical, Mythology",Unknown,5.0,PG-13 - Teens 13 or older,6.121,197.0,84502.0,11180,1329,2,2019.0
18019,50794,Yi Shijie Zhongyao Pu 2nd Season,异世界中药铺 第二季,Unknown,The second season of Yi Shijie Zhongyao Pu.,ONA,60.0,Finished Airing,"Apr 27, 2021","Nov 9, 2021","Tencent Penguin Pictures, iQIYI",Unknown,Soyep,Manga,"Drama, Fantasy",Unknown,Unknown,12.0,PG-13 - Teens 13 or older,,,163652.0,18045,171,0,2021.0
11848,48845,Li Linke de Xiao Guaner,李林克的小馆儿,The Dining of Link Lee,"In Beijing, a city full of opportunities and pressures where modernity and traditional culture echo each other, the small pavilion located in a quiet alley at the foot of the CBD is the gathering place where various elements collide and ferment. It has no eye-catching signs and luxurious decoration, making it easy to overlook it when passing by. But familiar guests know that in this small warm space, you can unload the fatigue of the day and enjoy a comfortable time. As a result, there are many dusty stories in everyone's heart quietly flowing out.",ONA,10.0,Finished Airing,"Apr 27, 2021","Jun 22, 2021",Unknown,Unknown,Delight Animation,Original,"Gourmet, Slice of Life",Workplace,Unknown,18.0,G - All Ages,6.331,161.0,73492.0,11861,1025,9,2021.0
17033,51746,Shijian Qiutu Zhi Miwu,时间囚徒之迷雾,Time Prisoner 2,Second season of Shijian Qiutu.,ONA,12.0,Finished Airing,"Apr 27, 2022","Jul 13, 2022",Unknown,Unknown,Unknown,Original,"Action, Sci-Fi, Supernatural",Super Power,Unknown,14.0,PG-13 - Teens 13 or older,,,149222.0,17058,227,0,2022.0
18843,51766,Nanaraki: Seven Lucky Gods,なならき~Seven Lucky Gods~,Unknown,Unknown,ONA,,Currently Airing,"Apr 27, 2022",Unknown,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,11.0,PG-13 - Teens 13 or older,,,137412.0,18870,117,0,2022.0
19826,44161,Mole Zhuang Yuan: Zhou Bo Ju,摩尔庄园周播剧,Unknown,Unknown,ONA,9.0,Finished Airing,"Apr 28, 2012","Jun 30, 2012",Unknown,Unknown,Unknown,Game,Unknown,Unknown,Kids,10.0,PG - Children,,,135662.0,19855,55,0,2012.0
10096,30463,Kyoufu Shinbun (2014),恐怖新聞 (2014),Horror News,"Rei Kigata is a first year middle schooler at Ishido Middle School. He is not a believer of any paranormal phenomena such as existence of ghosts or spirits in any kind, but one day at midnight, while he is sleeping, a mysterious newspaper called ""Horror News"" is delivered to his room. The newspaper tells a story in which one of his teachers at the school will get killed in a car accident the following morning and Kigata will be a witness of the accident. The story turns into a fact in the following day and since then, the mysterious newspaper is delivered everyday. He realizes he is haunted by this newspaper and that his life span would be shortened in 100 days every time he reads it.

(Source: Crunchyroll, edited)",ONA,16.0,Finished Airing,"Apr 28, 2014","Aug 1, 2014",Unknown,Unknown,Next Media Animation,Unknown,"Fantasy, Horror, Supernatural",Mythology,Unknown,10.0,PG-13 - Teens 13 or older,5.511,385.0,110832.0,10108,1994,6,2014.0
16078,35453,Tobidase!! Buddy-kun,とびだせ!!バディくん,Unknown,"Parody shorts of Future Card Buddyfight DDD released only on CoroCoro Comic's official YouTube channel. Similar shorts are shown before each episode of Future Card Buddyfight DDD, but those are included in that main anime's entry.",ONA,4.0,Finished Airing,"Apr 28, 2016","Jul 1, 2016",Unknown,Unknown,Unknown,Card game,Unknown,"Parody, Strategy Game",Unknown,39.0,G - All Ages,,,156042.0,16104,292,0,2016.0
3045,33350,Zhen Hun Jie,镇魂街,Rakshasa Street,"Based on the Chinese manhua. Requiem Street, where evil spirits are attracted to in order to destroy them. A place where spirits and humans co-exist, not all humans can enter Requiem Street. Only those rare-soul users with guardian spirits can enter. Xia Ling was just a normal university intern, but a meeting by chance changes her ordinary life... In this world full of evil spirits, can you cooperate with your guardian spirit in order to survive? 

(Source: MU) ",ONA,24.0,Finished Airing,"Apr 28, 2016","Oct 20, 2016",Yaoqi,Unknown,L²Studio,Manga,"Action, Supernatural",Unknown,Unknown,14.0,PG-13 - Teens 13 or older,7.561,6636.0,14882.0,3047,40673,201,2016.0
10347,38413,Arad: Suming Zhi Men,阿拉德：宿命之門,The Fate of Arad,Unknown,ONA,20.0,Finished Airing,"Apr 28, 2017","Sep 1, 2017","Tohokushinsha Film Corporation, Tencent Animation & Comics, Tencent Games",Unknown,"Success Corp., Dangun Pictures",Game,"Action, Adventure, Fantasy",Unknown,Unknown,14.0,PG-13 - Teens 13 or older,5.971,227.0,91852.0,10359,1826,4,2017.0
13641,35443,Nui Nui Hinobori San Kyoudai,ぬいぬい日昇三兄弟,The Three Nui Nui Hinobori Brothers,"The series will center on the three Hinobori brothers, who run a stuffed toy shop called ""Nui Nui"" at the end of Tokyo's Kappabashi shopping street. The eldest brother Kaede is the manager, the second son Aoi is in charge of patterns, and the third son Akane is in charge of displays. 

(Source: ANN)",ONA,4.0,Finished Airing,"Apr 28, 2017","Dec 17, 2017",Unknown,Unknown,DLE,Other,Slice of Life,Unknown,Unknown,3.0,G - All Ages,,,139532.0,13658,554,0,2017.0
15211,37642,Huan Jing Nuo De Lin,幻镜诺德琳,Beyond the Worlds,Unknown,ONA,1.0,Finished Airing,"Apr 28, 2017",Not Available,YHKT Entertainment,Unknown,Unknown,Original,"Action, Fantasy",Mecha,Unknown,33.0,R - 17+ (violence & profanity),,,185382.0,15233,356,1,2017.0
6276,35255,Soutai Sekai,ソウタイセカイ,The Relative Worlds,"The story is set in Japan in 2020. The story centers on Shin Hazama, and a version of himself who led a different life in another Japan appears. A crack opens in the everyday life that he thought was impossible to change. Boys and girls have to decide what to think and choose when the world changes completely. The battle with another world and another self begins.

(Source: ANN)",ONA,2.0,Finished Airing,"Apr 28, 2017","May 5, 2017",Hulu,Unknown,Craftar Studios,Original,Sci-Fi,Unknown,Unknown,15.0,PG-13 - Teens 13 or older,5.721,2231.0,102682.0,6282,7894,8,2017.0
13249,40757,Latina no Nikki,ラティナの日記,Unknown,Short specials uploded to the official Twitter in which Latina gives little comments about her life and the people around her.,ONA,77.0,Finished Airing,"Apr 28, 2019","Sep 23, 2019",Unknown,Unknown,Maho Film,Light novel,Slice of Life,Unknown,Unknown,16.0,G - All Ages,5.891,162.0,95982.0,13266,636,2,2019.0
20275,51789,Ouchi de Bijutsukan,お家で美術館,Unknown,Unknown,ONA,,Currently Airing,"Apr 28, 2020",Unknown,Unknown,Unknown,Unknown,Original,Unknown,"Iyashikei, Music",Kids,39.0,G - All Ages,,,141572.0,20303,46,0,2020.0
1350,50549,Bubble,バブル,Bubble,"Five years ago, gravity-defying bubbles with mysterious powers rained down upon the earth. After a huge explosion of uncertain origin, Tokyo became ground zero, with the city being enclosed in a gigantic bubble. As a result of this “Bubble Fall"" phenomenon, the metropolis that was once the capital of Japan drowned in a gravity-bending sea; the government declared it a prohibited zone, and the residents abandoned it.

Children orphaned by the Bubble Fall now squat illegally in Tokyo, partaking in dangerous parkour team battles across the city’s dilapidated buildings. Hibiki—a talented ace in these games with the ability to jump between bubbles—claims he can hear sounds from the Tokyo Tower. Determined to uncover its mysteries, he sets off toward the source, but he falls into the waters below.

A strange girl, whom he later nicknames Uta, saves him. But little does Hibiki know that Uta's appearance in his life will reveal the secrets behind the disastrous event that changed their world forever.

[Written by MAL Rewrite]
",ONA,1.0,Finished Airing,"Apr 28, 2022",Not Available,"Warner Bros. Japan, Nitroplus, Straight Edge, STORY, Lawson Entertainment",Unknown,Wit Studio,Original,Sci-Fi,Unknown,Unknown,100.0,PG-13 - Teens 13 or older,7.301,75392.0,24302.0,1351,145435,1198,2022.0
12005,50575,Huang Yan,谎颜,Face on Lie,"Han Yuxi, a young woman who is insecure about her appearance, has tolerated criticism and abuse all her life. Devastated upon learning that her boyfriend has been cheating on her, she decides to take action and goes to a hospital to receive plastic surgery. There, she meets with plastic surgeon Ling Huantao, who wants to recreate the face of his vegetative wife who he is obsessed with. Huantao offers Yuxi the hope of living a better life, but a new face may not provide her with the happiness that she desperately desires.

[Written by MAL Rewrite]
",ONA,16.0,Finished Airing,"Apr 28, 2022","Jul 21, 2022",bilibili,Unknown,Unknown,Manga,"Romance, Suspense",Unknown,Unknown,13.0,PG-13 - Teens 13 or older,6.761,214.0,50252.0,12018,959,25,2022.0
11934,51738,Kakkou no Iikagen,カッコウのいいかげん,Unknown,Kakkou no Iinazuke mini anime released on the KADOKAWA Anime YouTube channel.,ONA,,Currently Airing,"Apr 28, 2022",Unknown,Unknown,Unknown,AQUA ARIS,Manga,Comedy,Unknown,Unknown,2.0,PG-13 - Teens 13 or older,5.821,223.0,98632.0,11947,991,1,2022.0
10485,51335,Shen Yin Wangzuo,神印王座,Throne of Seal,"While the demons were rising, mankind was about to become extinct. Six temples rose, and protected the last of mankind. A young boy joins the temple as a knight to save his mother. During his journey of wonders and mischief in the world of temples and demons, will he be able to ascend to become the strongest knight and inherit the throne?

(Source: AniList)",ONA,26.0,Currently Airing,"Apr 28, 2022",Unknown,Tencent Penguin Pictures,Unknown,Shenman Entertainment,Web novel,"Action, Adventure, Fantasy",Unknown,Unknown,20.0,PG-13 - Teens 13 or older,7.691,442.0,11302.0,10497,1746,24,2022.0
4021,17637,Miyakawa-ke no Kuufuku,宮河家の空腹,The Miyakawa Family's Hunger,A spin-off of Lucky Star. Centers around big sister Hinata Miyakawa and little sister Hikage Miyakawa's impoverished daily life at home (due to Hinata's wasteful habits) and Hikage's life at elementary school.,ONA,10.0,Finished Airing,"Apr 29, 2013","Jul 1, 2013",Unknown,Unknown,"Ordet, Encourage Films",Manga,Slice of Life,Unknown,Unknown,5.0,PG-13 - Teens 13 or older,6.521,11160.0,62802.0,4024,23278,27,2013.0
15598,23857,Go! Go! Kadendanshi 2nd Season,Go!Go!家電男子 シーズン2,Unknown,2nd Season of Go! Go! Kadendanshi.,ONA,78.0,Finished Airing,"Apr 29, 2014","Mar 13, 2015",Unknown,Unknown,DLE,Unknown,Action,Unknown,teenager,1.0,G - All Ages,,,180742.0,15621,324,0,2014.0
16268,49274,Hua Jianghu: Bu Liang Ren IV,画江湖之不良人 IV,Unknown,Fourth Season of Hua Jianghu: Bu Liang Ren.,ONA,13.0,Finished Airing,"Apr 29, 2021","Jul 8, 2021",Unknown,Unknown,Unknown,Original,"Drama, Fantasy, Romance","Historical, Martial Arts",Unknown,25.0,PG-13 - Teens 13 or older,,,185272.0,16291,279,1,2021.0
2224,43697,Yasuke,YASUKE －ヤスケ－,Yasuke,"A village in danger, a mysterious child, warring daimyo, and the greatest ronin never known all clash in a Japan of magic and mechs. Learn the story of the first African samurai.

(Source: Netflix)",ONA,6.0,Finished Airing,"Apr 29, 2021",Not Available,Studio Easter,Netflix,MAPPA,Other,"Action, Fantasy",Samurai,Unknown,29.0,R - 17+ (violence & profanity),5.761,39346.0,101112.0,2225,71296,230,2021.0
19262,52368,AOTU Shijie 4,凹凸世界 第四季,Unknown,Unknown,ONA,,Currently Airing,"Apr 29, 2022",Unknown,Unknown,Unknown,7doc,Web manga,"Action, Adventure, Fantasy, Sci-Fi",Super Power,young boy,19.0,PG-13 - Teens 13 or older,,,168592.0,19288,89,0,2022.0
16357,29751,Yurumi to Shimeru,ユルミとシメル,Unknown,"The Mukai siblings, Sunao and Ai, were having a normal day, when suddenly, a space ship suddenly fell into the yard of their house!? What came from within the ship was a little girl who called herself Yurumi. ""We're from the cosmic repair shop, 'Rutsubo Mechanic Company,'"" said another girl, Yurumi's partner, Shimeru, who stepped out afterwards. 
And so, in the Mukai household, a comedy of cosmic proportions unfolds!

(Source: MU)",ONA,1.0,Finished Airing,"Apr 3, 2008",Not Available,Unknown,Unknown,Opera House,Web manga,"Comedy, Sci-Fi",Unknown,Unknown,3.0,G - All Ages,,,165002.0,16382,272,0,2008.0
15475,35349,Marumofubiyori,まるもふびより,Marumofubiyori,"Marumofubiyori is a Sanrio universe line introduced in Tokyo's Shinjuku Ward on February 6, 2017. Now with an anime adaptation we see a white bear in a blanket known as Mop and his friends.

(Source: Sanrio Wiki)
",ONA,8.0,Finished Airing,"Apr 3, 2017","Nov 8, 2019",Sanrio,Unknown,Unknown,Original,Unknown,Unknown,Kids,2.0,G - All Ages,,,133092.0,15497,335,1,2017.0
3025,34823,Souryo to Majiwaru Shikiyoku no Yoru ni...,僧侶と交わる色欲の夜に…,On a Lustful Night Mingling with a Priest,"At a high school reunion, Mio Fukatani reunites with a classmate she has not seen in years—Takahide Kujou. She had always wanted to know more about the kind-hearted boy in high school, but once she realizes that Kujou has become a monk, she believes that any chance of getting to know him romantically is slim. Deciding to drink away her sorrows, she ends up walking home drunk, and surprisingly, running into Kujou who helps her get home.

However, once inside, Kujou's lust for Mio becomes apparent and the two share an erotic night of passion. As this steamy romance blossoms between these two unlikely lovers, Mio and Kujou will undoubtedly spend many nights together in utter ecstasy.

[Written by MAL Rewrite]",ONA,12.0,Finished Airing,"Apr 3, 2017","Jun 19, 2017","Kujou-kun no Bonnou wo Mimamoru-kai, Cloud22",Unknown,Seven,Manga,"Drama, Romance, Hentai",Unknown,Unknown,4.0,Rx - Hentai,4.661,16422.0,,3027,41089,85,2017.0
5566,36655,Souten no Ken: Regenesis,蒼天の拳 REGENESIS,Fist of the Blue Sky Regenesis,"Long before Kenshiro said, ""You're already dead,"" a different Kenshiro walked the violent streets of Shanghai. The city is in constant crisis as two mafia families battle one another for supremacy. In the crossfire, a little girl named Erika is orphaned and soon taken under the wing of martial artist Liu Fei-Yan. Sorrow seems to follow the girl, as every time Fei-Yan attempts to hand her off, her new guardians end up dead. Fei-Yan decides to bring the girl to a man named Guise but instead crosses paths with powerful Kenshiro Kasumi.

(Source: ANN)",ONA,12.0,Finished Airing,"Apr 3, 2018","Jun 19, 2018",Souten no Ken,Ponycan USA,Polygon Pictures,Manga,Action,"Historical, Martial Arts",Unknown,22.0,R - 17+ (violence & profanity),5.661,3224.0,105402.0,5571,10542,17,2018.0
7787,41439,Beyblade Burst Sparking,ベイブレードバースト スパーキング,Beyblade Burst Surge,"One year after the events of Beyblade Burst GT, brothers Hikaru, and Hyuga witness the power of Superking/Sparking evolutions of Valkyrie, Ragnaruk, and Satan. The three beys radiate a power that was not even dreamable, due to their bladers pulling off a sparking launch. Hyuga and Hikaru get inspired to make their own sparking beys, Hyperion and Helios, and compete with the legendary bladers, training to best the top ranked bladers to ever touch the stadium.

Prepared to do whatever it takes to become the best, they head across the globe to challenge the best to ever let it rip, in an effort to become stronger, and battle all of the top bladers that were able to make their mark in the stadium.

(Source: Wikipedia)",ONA,52.0,Finished Airing,"Apr 3, 2020","Mar 19, 2021",ADK Emotions,ADK Emotions NY,OLM,Manga,"Action, Adventure, Sci-Fi, Sports",Unknown,Kids,12.0,PG - Children,6.581,2039.0,59302.0,7793,4639,30,2020.0
16387,29393,Pinky Monkey no Umareta Hi,ピンキーモンキーの生まれた日,Unknown,"Produced by Kenji Eno, commissioned by Frente International, this short shows the birth of Pinky.",ONA,1.0,Finished Airing,"Apr 30, 2006",Not Available,Unknown,Unknown,Unknown,Unknown,Adventure,Unknown,Unknown,2.0,G - All Ages,5.281,113.0,117942.0,16412,270,0,2006.0
6760,24169,Detective Conan: The Fugitive Kogorou Mouri,逃亡者・毛利小五郎,Unknown,"File 594 that was never animated. To celebrate Detective Conan Movie 18 premiere, it was animated and streamed on NOTTV.  This is where Kogorou Mouri is the fugitive.",ONA,1.0,Finished Airing,"Apr 30, 2014",Not Available,Unknown,Unknown,TMS Entertainment,Manga,"Comedy, Mystery",Unknown,Unknown,22.0,PG-13 - Teens 13 or older,6.931,2849.0,41842.0,6766,6598,1,2014.0
5822,37563,Di Wang Gong Lue,帝王攻略,The Emperor's Strategy,"At the age of 18, Chu Yuan faces tremendous pressure to prove his competence as the new emperor of Chu State. He must be careful with his decisions, especially with the ongoing unrest at the borders of Chu and Xinan. However, the matter is taken from his hands when Duan Baiyue—the young Xinan King—puts an end to the rebellion himself. His aid spares Chu Yuan an insurmountable amount of grief, and the people of Chu now hail Duan Baiyue as their hero.

Two years later, Xinan's influence has grown, stirring rumors that Duan Baiyue intends to take over Chu State soon. As he stands before a winter plum tree, a furious Chu Yuan does not know what to think and recalls a promise made long ago. The tension reaches a breaking point when a visiting duke of Ahnu, an ally of Chu State, is found dead in the streets of Chu.

[Written by MAL Rewrite]",ONA,20.0,Finished Airing,"Apr 30, 2018","Sep 10, 2018",Tencent Penguin Pictures,Unknown,Seven Stone Entertainment,Novel,"Adventure, Boys Love, Drama, Mystery","Historical, Martial Arts",Unknown,16.0,PG-13 - Teens 13 or older,6.441,1678.0,67192.0,5827,9523,41,2018.0
20611,47573,"Huang Doujun Tebie Ban: ""Wang Buliao""",黄逗菌特别版之《忘不了》,Unknown,Unknown,ONA,10.0,Finished Airing,"Apr 30, 2019",Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,1.0,G - All Ages,,,185452.0,20640,36,0,2019.0
8514,40941,Sexfriend Gakuen,セフレ学園,Unknown,"Takeshi Ookubo is a student at the prestigious Seifuukan Academy, attended mostly by the rich and influential. Owing to his nasty physique and meager intellect, he has little prospect in getting the attention of, let alone developing a romantic relationship with, the woman of his dreams.

When Takeshi is on the verge of giving up, God bestows upon him hypnosis powers, which Takeshi uses to seduce the attractive girls at his school and build his own harem.

He now embarks on a perverted quest, entrapping both classmates and teachers alike under his command. The academy soon transforms into his exclusive sexual playground as more and more girls begin submitting to his influence.

[Written by MAL Rewrite]",ONA,1.0,Finished Airing,"Apr 30, 2020",Not Available,Mousou Jitsugen Media,Unknown,Unknown,Manga,Hentai,Unknown,Unknown,20.0,Rx - Hentai,5.301,1440.0,,8523,3563,8,2020.0
15394,48864,Ndaho Kekkon Omedetou!!,ンダホ結婚おめでとう！！,Unknown,An animation celebrating Fischer's member Ndaho's marriage.,ONA,1.0,Finished Airing,"Apr 30, 2021",Not Available,Unknown,Unknown,LIDENFILMS,Original,Slice of Life,Music,Unknown,4.0,G - All Ages,6.051,167.0,87662.0,15417,341,0,2021.0
