,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
13150,7617,Atelier Petros Joukuu Gekijou: Sentaku Shima no Sentaku Tori,atelier petros上空劇場 ～洗濯島の洗濯鳥～,Atelier Petros the Theater in the Sky The Wash Bird of the Wash Island,"Enter the strange fantasy world of Peter the wash bird.

Come visit the leading paradise resort located somewhere in the southern hemisphere. The tropical ecosystem is unlike anything you've even seen before.

Tourists enjoy traveling there in a special ark.
When needed the resort offers laundry service on a very unique island.
",ONA,1.0,Finished Airing,2003,Not Available,The Village of Marchen,Unknown,Unknown,Original,"Comedy, Fantasy",Unknown,Unknown,3.0,G - All Ages,4.041,398.0,130342.0,13164,656,0,2003.0
14138,14743,Nara Shika Monogatari,奈良鹿物語,Nara Deer Story,"If the deer of Japanese Nara Park are bullied, they will become like this. ",ONA,1.0,Finished Airing,2004,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,1.0,G - All Ages,5.271,252.0,118082.0,14159,471,1,2004.0
20820,44618,Ludou Wa,绿豆蛙,Unknown,Unknown,ONA,309.0,Finished Airing,2004,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Anthropomorphic,Unknown,4.0,PG - Children,,,131642.0,20852,32,0,2004.0
15560,29972,Hakuchuu Meikyuu,白昼迷宮,Unknown,Short animation by Taro Shinkai.,ONA,1.0,Finished Airing,2004,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,5.0,G - All Ages,5.031,156.0,123342.0,15582,327,0,2004.0
13136,8682,Television,テレビ,Unknown,A man with his cat finds himself in a bizarre situation involving a television. A stop motion animation from the creator of Kotatsu Neko.,ONA,1.0,Finished Airing,2004,Not Available,Space Neko Company,Unknown,Unknown,Original,Horror,Unknown,Unknown,2.0,PG - Children,5.321,338.0,116902.0,13152,660,0,2004.0
10003,30663,Docchi mo Maid,どっちもメイド,Unknown,"Izumi, a 12-year-old schoolgirl, suddenly gets not one but two lovely and rather lewd maids from outer space, who have to defend her city from a monster's invasion.",ONA,1.0,Finished Airing,2004,Not Available,Unknown,Unknown,Ishikawa Pro,Original,"Action, Comedy, Girls Love, Ecchi",Unknown,Unknown,13.0,PG-13 - Teens 13 or older,4.021,1087.0,130362.0,10015,2062,5,2004.0
11861,7569,Idol Ace,アイドルA,Idol Ace,"In summer 2005 an original promotional animation of 2.5 minutes length was produced by Shogakukan for the upcoming release of the Idol Ace manga by Adachi Mitsuru in the Weekly Young Sunday magazine.

The short features the main character being recorded throughout the day by a peeping pervert.

(Source: AniDB)",ONA,1.0,Finished Airing,2005,Not Available,Unknown,Unknown,OLM,Unknown,Comedy,Unknown,Unknown,2.0,PG-13 - Teens 13 or older,5.261,503.0,118432.0,11874,1018,2,2005.0
20174,44580,Shaolin Tu Yu Wudang Gou,少林兔与武当狗,Kung Fu Bunny,Unknown,ONA,1.0,Finished Airing,2005,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,4.0,G - All Ages,,,148262.0,20202,48,0,2005.0
9367,8689,Born by Myself,BORN BY MYSELF,Unknown, A dark surreal film of several creatures metamorphorphing inside a room. A stop motion animation film from the minds of Kobayashi Masahide and Keita Funamoto of The Village of Marchen,ONA,1.0,Finished Airing,2005,Not Available,The Village of Marchen,Unknown,Unknown,Original,Avant Garde,Psychological,Unknown,6.0,PG-13 - Teens 13 or older,3.131,1368.0,130972.0,9378,2573,0,2005.0
16553,13501,Cofun Gal no Coffy,古墳ギャルのコフィー,Tumulus Gal Coffy,"Tumulus Gal Coffy goes to Tumulus High School, where a barrow tomb from the Yayoi period, the royal successor of the tumulus world, a grave from America, a commander from the Sengoku period as a teacher, and various other tumuli gather. Enjoy the tumuli love, friendship, and youth depicted in a cemetery school love comedy.",ONA,10.0,Finished Airing,2005,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,"Historical, Parody",Unknown,9.0,G - All Ages,,,174532.0,16579,257,0,2005.0
