Start_Aired,Genres,count
1960-01-01,Unknown,13
1960-01-01,Fantasy,3
1960-01-01,Avant Garde,2
1960-01-01,Romance,1
1960-01-01, Comedy,1
1960-01-15,Fantasy,1
1960-04-01,Unknown,1
1960-08-14,Adventure,1
1961-01-01,Unknown,7
1961-01-01,Comedy,2
1961-01-01,Avant Garde,1
1961-01-01,Drama,1
1961-01-01,Fantasy,1
1961-01-01,Sci-Fi,1
1961-04-03,Unknown,1
1961-05-01,Unknown,1
1961-07-19,Fantasy,1
1961-08-10,Unknown,1
1962-01-01,Unknown,9
1962-01-01,Avant Garde,1
1962-01-01,Fantasy,1
1962-04-22,Slice of Life,1
1962-06-01,Unknown,1
1962-06-16,Action,1
1962-06-16, Adventure,1
1962-06-16, Fantasy,1
1962-06-25,Unknown,1
1962-07-19,Slice of Life,1
1962-08-25,Adventure,1
1962-11-05,Drama,1
1962-11-05,Slice of Life,1
1962-11-05, Romance,1
1962-12-05,Unknown,1
1963-01-01,Unknown,5
1963-01-01,Avant Garde,4
1963-01-01, Romance,2
1963-01-01,Action,2
1963-01-01, Adventure,1
1963-01-01, Sci-Fi,1
1963-01-01, Drama,1
1963-01-01,Comedy,1
1963-01-01,Drama,1
1963-01-01,Fantasy,1
1963-02-05,Unknown,1
1963-03-24, Fantasy,1
1963-03-24,Adventure,1
1963-06-01,Unknown,1
1963-09-04, Ecchi,1
1963-09-04,Comedy,1
1963-10-20,Adventure,1
1963-10-20, Sci-Fi,1
1963-11-07, Drama,1
1963-11-07, Sci-Fi,1
1963-11-07,Action,1
1963-11-25,Adventure,1
1963-12-20,Adventure,1
1963-12-21, Adventure,1
1963-12-21, Drama,1
1963-12-21, Fantasy,1
1963-12-21,Action,1
1963-12-21,Adventure,1
1964-01-01,Unknown,9
1964-01-01,Avant Garde,3
1964-01-01,Adventure,2
1964-01-01, Fantasy,1
1964-01-01, Romance,1
1964-01-01, Sci-Fi,1
1964-01-01,Mystery,1
1964-01-21,Unknown,1
1964-03-22,Adventure,1
1964-06-07, Adventure,1
1964-06-07,Action,1
1964-06-26,Fantasy,1
1964-07-21, Adventure,1
1964-07-21,Action,1
1964-07-26,Action,1
1964-07-26, Adventure,1
1964-07-26, Drama,1
1964-07-26, Sci-Fi,1
1964-08-03,Unknown,2
1964-08-03, Sci-Fi,1
1964-08-03,Action,1
1964-08-06,Unknown,1
1964-09-21,Fantasy,1
1964-09-21,Mystery,1
1964-12-11,Unknown,1
1965-01-01,Unknown,8
1965-01-01,Comedy,3
1965-01-01, Slice of Life,1
1965-01-01,Action,1
1965-01-01,Avant Garde,1
1965-01-01,Drama,1
1965-01-01, Romance,1
1965-01-01, Sci-Fi,1
1965-01-01, Adventure,1
1965-01-01, Comedy,1
1965-01-03,Adventure,1
1965-01-07, Sci-Fi,1
1965-01-07, Comedy,1
1965-01-07,Action,1
1965-02-01,Sci-Fi,1
1965-02-15,Unknown,1
1965-03-20, Sci-Fi,1
1965-03-20,Adventure,1
1965-04-04, Adventure,1
1965-04-04, Sci-Fi,1
1965-04-04,Action,1
1965-04-07,Unknown,1
1965-04-08,Unknown,1
1965-05-04, Adventure,1
1965-05-04, Sci-Fi,1
1965-05-04,Action,1
1965-05-08, Adventure,1
1965-05-08, Sci-Fi,1
1965-05-08,Action,1
1965-05-31, Comedy,1
1965-05-31,Adventure,1
1965-06-03, Sci-Fi,1
1965-06-03,Action,1
1965-06-06, Adventure,1
1965-06-06, Comedy,1
1965-06-06, Sci-Fi,1
1965-06-06,Action,1
1965-08-29, Slice of Life,1
1965-08-29, Supernatural,1
1965-08-29,Comedy,1
1965-10-01,Adventure,1
1965-10-01,Comedy,1
1965-10-06,Adventure,1
1965-11-01,Comedy,1
1965-11-01, Fantasy,1
1965-12-14, Sci-Fi,1
1965-12-14,Action,1
1966-01-01,Fantasy,2
1966-01-01,Comedy,2
1966-01-01,Avant Garde,2
1966-01-01, Slice of Life,1
1966-01-01,Unknown,1
1966-02-05,Comedy,1
1966-02-11,Slice of Life,1
1966-04-05,Slice of Life,1
1966-04-23, Adventure,1
1966-04-23, Sci-Fi,1
1966-04-23,Action,1
1966-05-02,Adventure,1
1966-05-05,Comedy,1
1966-06-03,Sci-Fi,1
1966-06-08,Unknown,1
1966-06-12, Fantasy,1
1966-06-12,Comedy,1
1966-07-01,Unknown,1
1966-07-21, Adventure,1
1966-07-21, Drama,1
1966-07-21, Sci-Fi,1
1966-07-21,Action,1
1966-07-31,Adventure,1
1966-08-25,Unknown,1
1966-10-04,Comedy,1
1966-10-05,Unknown,1
1966-10-05,Adventure,1
1966-10-06, Adventure,1
1966-10-06, Sci-Fi,1
1966-10-06,Action,1
1966-10-20,Unknown,1
1966-11-11,Comedy,1
1966-11-14,Comedy,1
1966-11-14, Mystery,1
1966-11-28,Adventure,1
1966-12-05,Fantasy,1
1966-12-31, Sci-Fi,1
1966-12-31,Adventure,1
1967-01-01,Avant Garde,2
1967-01-01,Drama,2
1967-01-01,Comedy,2
1967-01-01, Slice of Life,1
1967-01-01, Drama,1
1967-01-01, Comedy,1
1967-01-01,Fantasy,1
1967-01-07,Comedy,1
1967-01-07, Fantasy,1
1967-01-21, Fantasy,1
1967-01-21,Adventure,1
1967-01-29, Sci-Fi,1
1967-01-29,Adventure,1
1967-02-15,Action,1
1967-03-19,Action,1
1967-03-19,Adventure,1
1967-03-19,Unknown,1
1967-03-19, Sci-Fi,1
1967-03-19, Adventure,1
1967-03-19, Fantasy,1
1967-04-01, Comedy,1
1967-04-01, Sci-Fi,1
1967-04-01,Action,1
1967-04-01,Adventure,1
1967-04-01,Unknown,1
1967-04-02,Adventure,2
1967-04-02, Comedy,1
1967-04-02, Fantasy,1
1967-04-02, Mystery,1
1967-04-02, Romance,1
1967-04-02,Action,1
1967-04-04,Adventure,1
1967-04-05,Adventure,1
1967-04-05, Sci-Fi,1
1967-06-08,Unknown,1
1967-07-03,Comedy,1
1967-07-21,Adventure,1
1967-07-30, Slice of Life,1
1967-07-30,Fantasy,1
1967-08-07,Unknown,1
1967-08-15,Action,1
1967-08-15, Adventure,1
1967-09-07,Comedy,1
1967-09-18,Adventure,1
1967-09-18, Horror,1
1967-10-02, Supernatural,1
1967-10-02,Comedy,1
1967-10-04,Unknown,1
1967-10-04, Sci-Fi,1
1967-10-04,Action,1
1967-10-07,Comedy,1
1968-01-01,Comedy,4
1968-01-01,Unknown,2
1968-01-01, Sci-Fi,1
1968-01-01,Action,1
1968-01-01,Avant Garde,1
1968-01-03, Supernatural,1
1968-01-03, Horror,1
1968-01-03,Adventure,1
1968-01-03, Comedy,1
1968-01-03, Fantasy,1
1968-01-07,Sci-Fi,1
1968-02-01,Action,1
1968-02-01, Mystery,1
1968-02-07,Unknown,1
1968-03-19,Drama,1
1968-03-19, Fantasy,1
1968-03-30, Sports,1
1968-03-30,Drama,1
1968-04-01,Sports,1
1968-04-05, Sci-Fi,1
1968-04-05,Action,1
1968-04-05, Adventure,1
1968-04-06, Slice of Life,1
1968-04-06,Action,1
1968-04-06,Comedy,1
1968-04-06, Comedy,1
1968-04-06, Sci-Fi,1
1968-04-21, Horror,1
1968-04-21,Comedy,1
1968-07-01, Adventure,1
1968-07-01,Action,1
1968-07-21, Drama,1
1968-07-21,Adventure,1
1968-07-25, Adventure,1
1968-07-25,Action,1
1968-08-01,Fantasy,1
1968-08-05,Unknown,1
1968-09-03,Action,1
1968-09-30,Action,1
1968-10-01,Unknown,1
1968-10-02,Comedy,1
1968-10-03, Adventure,1
1968-10-03, Drama,1
1968-10-03, Slice of Life,1
1968-10-03,Action,1
1968-10-07,Horror,1
1968-10-12, Comedy,1
1968-10-12,Avant Garde,1
1968-10-19,Fantasy,1
1968-10-21, Adventure,1
1968-10-21, Sci-Fi,1
1968-10-21,Action,1
1968-12-02,Unknown,1
1969-01-01,Avant Garde,3
1969-01-01, Comedy,2
1969-01-01,Action,2
1969-01-01, Fantasy,1
1969-01-01,Slice of Life,1
1969-01-01, Adventure,1
1969-01-02,Adventure,1
1969-01-06,Unknown,1
1969-01-13, Adventure,1
1969-01-13, Sci-Fi,1
1969-01-13,Action,1
1969-02-02,Sci-Fi,1
1969-03-18,Drama,1
1969-03-18, Fantasy,1
1969-03-18,Adventure,1
1969-03-31, Comedy,1
1969-03-31,Adventure,1
1969-04-01, Slice of Life,1
1969-04-01,Comedy,1
