Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Seiji no Rinrika,政治の倫理化,Movie,Unknown,1926-01-01,Radio,14753,5.151,400,0,Unknown
Byoudoku no Denpa,病毒の伝播,Movie,Unknown,1926-01-01,Original,14528,5.171,422,0,Unknown
Kemurigusa Monogatari,煙り草物語,Movie,Unknown,1926-01-01,Original,11884,5.051,1017,0,Comedy
Baguda-jou no Touzoku,馬具田城の盗賊,Movie,Unknown,1926-10-06,Original,10999,5.001,1419,3,"Adventure, Romance"
Kujira,くじら,Movie,Unknown,1927-01-01,Original,15936,,303,0,Adventure
Mikan-bune,みかん船,Movie,Unknown,1927-02-11,Other,11597,4.671,1127,1,Unknown
Saru Kani Gassen (1927),猿蟹合戰,Movie,Unknown,1927-05-01,Other,12295,5.401,885,0,Drama
Tako no Hone,蛸の骨,Movie,Unknown,1927-11-02,Other,12858,4.901,732,0,Fantasy
Sakana no Kuni,魚の國,Movie,Unknown,1928-01-01,Unknown,14501,5.141,426,0,Unknown
Nihonichi Momotarou,日本一桃太郎,Movie,Unknown,1928-01-01,Original,10943,5.311,1451,0,Fantasy
Tairiki Tarou no Mucha Shuugyou,大力太郎の無茶修業,Movie,Unknown,1928-01-01,Original,10927,4.681,1465,1,Action
Okuni no Tame ni,御国の為に,Movie,Unknown,1928-01-01,Original,14309,5.111,450,0,Unknown
Chinsetsu Yoshida Goten,珍説吉田御殿,Movie,Unknown,1928-04-27,Novel,16728,,246,0,Unknown
Doubutsu Olympic Taikai,動物オリムピック大會,Movie,Unknown,1928-09-04,Original,11774,5.441,1057,0,"Comedy, Sports"
Chuukichi wa Kaetta,チュウキチは歸った,Movie,Unknown,1929-01-01,Unknown,18113,,166,0,Unknown
Issunboushi no Shusse,一寸法師ノ出世,Movie,Unknown,1929-01-01,Original,11097,4.461,1364,1,Supernatural
Futatsu no Sekai,二つの世界,Movie,Unknown,1929-01-01,Book,13862,5.711,520,1,Unknown
Kaeru wa Kaeru,蛙は蛙,Movie,Unknown,1929-02-16,Original,15898,,305,1,Unknown
Kogane no Hana,こがねの花,Movie,Unknown,1929-03-12,Original,12062,4.751,950,0,"Action, Adventure, Fantasy"
Tarou-san no Kisha,太郎さんの汽車,Movie,Unknown,1929-06-18,Original,10603,5.401,1673,2,Action
Kobutori (1929),瘤取り,Movie,Unknown,1929-10-14,Other,8862,5.871,3132,2,Comedy
Roba,驢馬,Movie,Unknown,1930-01-01,Book,14688,5.541,406,1,Adventure
