anime_ID,Start_Aired,Genres
28241,1940-01-01,Action
33135,1940-01-05,Fantasy
28143,1940-05-16,Drama
7501,1940-09-19,Comedy
34993,1941-01-01,Unknown
28245,1941-01-01,Comedy
28827,1941-01-01,Comedy
9521,1941-01-01,Action
9521,1941-01-01, Adventure
9521,1941-01-01, Fantasy
6843,1941-02-01,Adventure
6848,1942-01-01,Action
28067,1942-01-01,Action
6844,1942-01-01,Unknown
23969,1942-03-15,Comedy
27575,1942-07-16,Unknown
6857,1943-03-25,Unknown
3990,1943-04-15,Adventure
23971,1943-07-01,Comedy
29782,1943-11-26,Unknown
7523,1944-11-09,Comedy
2765,1945-04-12,Action
7524,1946-01-01,Unknown
28053,1946-01-01,Fantasy
15455,1946-01-01,Fantasy
28055,1947-01-01,Drama
43203,1947-01-01,Unknown
29895,1947-09-25,Unknown
5662,1947-09-25,Unknown
6846,1948-01-01,Adventure
24363,1948-01-01,Comedy
43340,1948-01-01,Unknown
30457,1948-02-01,Comedy
12603,1948-02-01,Drama
23633,1948-10-01,Unknown
23635,1949-06-01,Unknown
28035,1949-09-01,Sports
7526,1949-10-01,Fantasy
6847,1950-01-01,Adventure
43208,1950-01-01,Unknown
10743,1950-01-01,Drama
23637,1950-12-01,Unknown
28693,1951-01-01,Unknown
43341,1951-01-01,Unknown
7527,1951-02-01,Action
30973,1952-01-01,Unknown
43342,1952-01-01,Unknown
28057,1952-01-01,Action
28057,1952-01-01, Adventure
28057,1952-01-01, Comedy
7528,1952-12-01,Fantasy
43343,1953-01-01,Unknown
43212,1953-01-01,Unknown
7529,1953-03-01,Comedy
43215,1954-01-01,Unknown
43213,1954-01-01,Unknown
28829,1954-01-01,Comedy
28829,1954-01-01, Fantasy
43214,1954-01-01,Unknown
23097,1954-03-01,Comedy
23639,1954-04-01,Supernatural
43221,1955-01-01,Unknown
43219,1955-01-01,Unknown
43218,1955-01-01,Unknown
43216,1955-01-01,Unknown
43220,1955-01-01,Unknown
43217,1955-01-01,Comedy
23641,1955-10-01,Fantasy
7531,1955-12-26,Supernatural
29918,1956-01-01,Unknown
43226,1956-01-01,Unknown
43225,1956-01-01,Unknown
29917,1956-01-01,Unknown
29623,1956-01-01,Drama
43227,1956-01-01,Unknown
29897,1956-01-01,Unknown
43222,1956-01-01,Unknown
43228,1956-01-01,Unknown
43224,1956-01-01,Unknown
11447,1956-04-01,Supernatural
7532,1956-07-01,Fantasy
29920,1957-01-01,Unknown
43232,1957-01-01,Unknown
43231,1957-01-01,Unknown
6993,1957-05-13,Comedy
29919,1957-08-20,Unknown
29923,1957-10-29,Unknown
43244,1958-01-01,Unknown
29921,1958-01-01,Unknown
43245,1958-01-01,Unknown
43243,1958-01-01,Unknown
43246,1958-01-01,Unknown
43252,1958-01-01,Unknown
43236,1958-01-01,Unknown
43250,1958-01-01,Unknown
43233,1958-01-01,Unknown
37024,1958-01-01,Comedy
33136,1958-01-01,Fantasy
49399,1958-01-01,Fantasy
43242,1958-01-01,Unknown
43248,1958-01-01,Unknown
43241,1958-01-01,Unknown
43239,1958-01-01,Unknown
43237,1958-01-01,Unknown
43235,1958-01-01,Unknown
43238,1958-01-01,Unknown
43249,1958-01-01,Unknown
9850,1958-03-01,Unknown
29812,1958-04-05,Drama
19125,1958-10-15,Adventure
4513,1958-10-22,Adventure
4513,1958-10-22, Fantasy
4513,1958-10-22, Romance
29925,1959-01-01,Unknown
43258,1959-01-01,Unknown
43267,1959-01-01,Unknown
43266,1959-01-01,Unknown
29922,1959-01-01,Unknown
43795,1959-01-01,Unknown
43265,1959-01-01,Unknown
43794,1959-01-01,Unknown
43269,1959-01-01,Unknown
43264,1959-01-01,Unknown
43259,1959-01-01,Unknown
43263,1959-01-01,Unknown
29926,1959-01-01,Unknown
32227,1959-01-01,Unknown
43260,1959-01-01,Unknown
43262,1959-01-01,Unknown
43270,1959-01-01,Unknown
45607,1959-01-01,Adventure
16007,1959-02-10,Fantasy
6994,1959-04-09,Comedy
21765,1959-09-05,Unknown
32626,1959-12-01,Unknown
4948,1959-12-25,Adventure
4948,1959-12-25, Fantasy
32623,1960-01-01,Fantasy
43274,1960-01-01,Unknown
43279,1960-01-01,Unknown
43276,1960-01-01,Unknown
29870,1960-01-01,Romance
43278,1960-01-01,Unknown
43261,1960-01-01,Unknown
43281,1960-01-01,Unknown
