Year,Type,Count
1967-10-04,Music,1
1967-10-04,TV,1
1967-10-07,TV,1
1968-01-01,Movie,7
1968-01-01,Special,1
1968-01-03,TV,1
1968-01-07,Special,1
1968-02-01,TV,1
1968-02-07,Music,1
1968-03-19,Movie,1
1968-03-30,TV,1
1968-04-01,TV,1
1968-04-05,TV,1
1968-04-06,TV,2
1968-04-21,TV,1
1968-07-01,Special,1
1968-07-21,Movie,1
1968-07-25,Movie,1
1968-08-01,Movie,1
1968-08-05,Music,1
1968-09-03,TV,1
1968-09-30,TV,1
1968-10-01,Movie,1
1968-10-02,TV,1
1968-10-03,TV,1
1968-10-07,TV,1
1968-10-12,Movie,1
1968-10-19,Movie,1
1968-10-21,TV,1
1968-12-02,Music,1
1969-01-01,Movie,6
1969-01-02,Special,1
1969-01-06,TV,1
1969-01-13,TV,1
1969-02-02,Special,1
1969-03-18,Movie,2
1969-03-31,TV,1
1969-04-01,Music,1
1969-04-01,TV,1
1969-04-02,TV,1
1969-04-04,TV,1
1969-04-06,TV,2
1969-04-28,TV,1
1969-06-14,Movie,1
1969-07-20,Movie,1
1969-07-22,Movie,1
1969-07-26,Movie,1
1969-09-29,TV,2
1969-10-02,TV,1
1969-10-05,TV,3
1969-10-20,TV,1
1969-10-29,Movie,1
1969-11-06,Special,1
1969-12-01,Music,1
1969-12-07,TV,1
1969-12-20,Movie,1
1970-01-01,Movie,7
1970-01-01,Special,1
1970-02-03,Music,1
1970-03-17,Movie,3
1970-03-21,Movie,3
1970-03-30,TV,2
1970-04-01,TV,1
1970-04-03,TV,1
1970-04-05,TV,1
1970-04-07,TV,1
1970-04-13,TV,1
1970-06-02,Music,1
1970-06-10,TV,1
1970-07-01,Movie,1
1970-07-19,Movie,2
1970-08-01,Movie,2
1970-08-01,TV,1
1970-09-03,TV,1
1970-09-15,Movie,1
1970-09-28,TV,1
1970-10-01,Music,1
1970-10-02,TV,1
1970-10-04,TV,1
1970-10-05,TV,1
1970-10-06,Music,1
1970-10-07,TV,1
1970-11-02,TV,1
1970-12-19,Movie,1
1970-12-19,Music,1
1971-01-01,Movie,19
1971-01-01,TV,1
1971-01-03,TV,1
1971-02-03,Music,1
1971-02-15,TV,1
1971-03-17,Movie,1
1971-03-20,Movie,2
1971-04-03,TV,1
1971-04-08,TV,1
1971-06-03,Music,1
1971-07-18,Movie,1
1971-08-01,Movie,1
1971-09-01,Movie,1
1971-09-01,TV,1
1971-09-24,Movie,1
1971-09-25,TV,1
1971-10-01,TV,1
1971-10-03,TV,1
1971-10-04,TV,1
1971-10-06,TV,2
1971-10-07,TV,1
1971-10-08,Music,1
1971-10-14,TV,1
1971-10-24,TV,1
1971-10-30,TV,1
1971-12-02,Music,1
1971-12-03,Music,1
1971-12-12,Movie,1
1972-01-01,Movie,15
1972-01-01,Special,1
1972-01-04,TV,1
1972-01-09,TV,1
1972-01-10,TV,1
1972-02-01,Music,2
1972-02-04,Music,1
1972-03-01,Movie,1
1972-03-18,Movie,1
1972-04-01,TV,1
1972-04-03,TV,1
1972-04-05,TV,1
1972-04-23,TV,1
1972-07-08,TV,1
1972-07-16,Movie,1
1972-07-30,Music,1
1972-08-27,TV,1
1972-10-01,TV,1
1972-10-04,TV,1
1972-10-05,Music,1
1972-10-05,TV,2
1972-10-07,TV,2
1972-12-03,TV,1
1972-12-17,Movie,1
1973-01-01,Movie,10
1973-01-01,Music,1
1973-01-01,TV,1
1973-01-02,TV,1
1973-01-07,TV,1
1973-03-02,TV,1
1973-03-17,Movie,1
1973-04-01,Movie,1
1973-04-01,TV,1
1973-04-02,TV,1
1973-04-04,TV,1
1973-04-07,TV,1
