genres,counter
Action,713
Adventure,788
Avant Garde,117
Award Winning,1
Boys Love,26
Comedy,1205
Drama,711
Ecchi,161
Erotica,6
Fantasy,723
Girls Love,20
Gourmet,13
Hentai,481
Horror,122
Mystery,151
Romance,470
Sci-Fi,697
Slice of Life,234
Sports,90
Supernatural,266
Suspense,21
Unknown,372
