genres,counter
Action,260
Adventure,287
Avant Garde,41
Boys Love,3
Comedy,236
Drama,207
Ecchi,7
Fantasy,130
Girls Love,1
Hentai,23
Horror,17
Mystery,23
Romance,94
Sci-Fi,282
Slice of Life,75
Sports,72
Supernatural,26
Suspense,1
Unknown,245
