genres,counter
Action,76
Adventure,97
Avant Garde,41
Comedy,81
Drama,50
Fantasy,49
Hentai,2
Horror,8
Mystery,5
Romance,11
Sci-Fi,58
Slice of Life,30
Sports,29
Supernatural,16
Suspense,1
Unknown,104
