genres,counter
Action,1422
Adventure,896
Avant Garde,247
Award Winning,4
Boys Love,54
Comedy,2704
Drama,735
Ecchi,405
Erotica,22
Fantasy,1347
Girls Love,48
Gourmet,48
Hentai,536
Horror,148
Mystery,283
Romance,697
Sci-Fi,805
Slice of Life,799
Sports,230
Supernatural,653
Suspense,81
Unknown,1179
