genres,counter
Action,491
Adventure,495
Avant Garde,44
Boys Love,19
Comedy,655
Drama,381
Ecchi,71
Erotica,5
Fantasy,445
Girls Love,6
Gourmet,9
Hentai,107
Horror,100
Mystery,71
Romance,212
Sci-Fi,403
Slice of Life,135
Sports,95
Supernatural,112
Suspense,9
Unknown,352
