genres,counter
Action,20
Adventure,38
Avant Garde,14
Comedy,26
Drama,10
Ecchi,1
Fantasy,24
Mystery,3
Romance,7
Sci-Fi,22
Slice of Life,8
Supernatural,1
Unknown,116
