genres,counter
Action,1236
Adventure,755
Avant Garde,118
Award Winning,9
Boys Love,51
Comedy,1634
Drama,575
Ecchi,132
Erotica,8
Fantasy,1338
Girls Love,26
Gourmet,45
Hentai,300
Horror,96
Mystery,226
Romance,452
Sci-Fi,559
Slice of Life,670
Sports,171
Supernatural,449
Suspense,69
Unknown,1139
