genres,counter
Action,22
Adventure,22
Avant Garde,3
Comedy,18
Drama,3
Fantasy,15
Hentai,1
Mystery,1
Romance,2
Sci-Fi,1
Slice of Life,1
Sports,6
Supernatural,7
Unknown,35
